,festival,local,direccion,ciudad,provincia,latitude,longitude,fecha_inicio,fecha_fin,duracion,estilo,dia_mes
0,Lovin Ibiza Festival,Lío Ibiza,"Passeig Joan Carles I, 1",Eivissa,Islas Baleares,38.913852,1.443275,2023-04-28,2023-04-30,3,electronica,28-04
1,IMS Dalt Vila,"['Baluarte de Santa Lucía', 'Dalt Vila']","Carrer Baluarte Santa Lucía, 1",Ibiza,Islas Baleares,38.908434,1.438789,2023-04-28,2023-04-28,1,electronica,28-04
2,DarkMAD,Autocine,"C. de la Isla de Java, 2",Madrid,Madrid,40.486224,-3.677802,2023-04-29,2023-04-30,2,electronica,29-04
3,Tv Hardcore Festival,Family Club,"Carretera Madrid-Ciudad Real, Km 96",Sonseca,Toledo,39.6759291,-3.9608126,2023-04-29,2023-04-29,1,electronica,29-04
4,Valencia Flow Fest,La 3 park,"Carrera del Riu, 399",Pinedo,Valencia,39.410957,-0.334871,2023-05-06,2023-05-07,2,electronica,06-05
5,Ritmo Festival,Paraje Natural Ermita de los Tres Juanes,,Atarfe,Granada,37.236180,-3.687694,2023-05-12,2023-05-13,2,electronica,12-05
6,Festival Días de Campo,Polideportivo Municipal,CV-195,Montanejos,Castellón,40.074435,-0.526620,2023-05-19,2023-05-21,3,electronica,19-05
7,Molan los 90 Zaragoza,Parque Deportivo Ebro,"Parque Deportivo Ebro, Cam. de Monzalbarba, 318",Zaragoza,Zaragoza,41.667911,-0.922852,2023-05-20,2023-05-20,1,electronica,20-05
8,Love the 90’s Valencia,Ciudad de Las Artes y Las Ciencias,"Av. del Professor López Piñero, 7",Valencia,Valencia,39.454884,-0.350533,2023-06-03,2023-06-03,1,electronica,03-06
9,Homenaje a la Ruta 90's & 2MIL Benidorm,Auditorio Julio Iglesias,"C. Primavera, 22",Benidorm,Alicante,38.542334,-0.130211,2023-06-10,2023-06-10,1,electronica,10-06
10,Sónar,Sónar de día - Fira Montjuïc,"Avinguda Rius i Taulet, s/n",Barcelona,Barcelona,41.372491,2.153574,2023-06-15,2023-06-17,3,electronica,15-06
11,OFFSónar,Poble Espanyol,"Av Francesc Ferrer i Guardia, 13",Barcelona,,41.368544,2.148258,2023-06-15,2023-06-18,4,electronica,15-06
12,O Son do Camiño,Parque Monte Do Gozo,Parque Monte do Gozo,Santiago de Compostela,A Coruña,42.886102,-8.496831,2023-06-15,2023-06-17,3,electronica,15-06
13,OffWeek Festival,Parc del Fòrum,"Carrer de la Pau, 12",San Adrián del Besós,Barcelona,41.411450,2.224560,2023-06-16,2023-06-17,2,electronica,16-06
14,Animal Sound Festival,Recinto Ferial La Fica,"Diseminado Primero Mayo, 19",Murcia,Murcia,37.983615,-1.109834,2023-06-16,2023-06-17,2,electronica,16-06
15,Love the 90’s Madrid,IFEMA - Feria de Madrid,"Av. del Partenón, Nº 5",Madrid,Madrid,40.467454,-3.616905,2023-06-17,2023-06-17,1,electronica,17-06
16,A Summer Story,Ciudad del Rock,"Carretera N-III, Km. 33",Arganda del Rey,Madrid,40.259650,-3.405805,2023-06-23,2023-06-24,2,electronica,23-06
17,Love the Tuenti's,IFEMA. Feria de Madrid,"Av. Partenón, Nº 5",Madrid,Madrid,40.464254,-3.616390,2023-06-24,2023-06-24,1,electronica,24-06
18,Ultra Beach Costa del Sol,Marenostrum Fuengirola,,Fuengirola,Málaga,36.524777,-4.628699,2023-06-24,2023-06-24,1,electronica,24-06
19,Holika Festival,,Cta. de La Catedral,Calahorra,La Rioja,42.297183,-1.957970,2023-06-29,2023-07-01,3,electronica,29-06
20,Maudes Festival,IFEMA,"Av. del Partenón, 5",Madrid,Madrid,40.467845,-3.617305,2023-06-30,2023-07-01,2,electronica,30-06
21,Weekend Beach Festival,Playa de Poniente,"Calle Faro Nuevo, 5",Torre del Mar,Málaga,36.732061,-4.099714,2023-07-05,2023-07-08,4,electronica,05-07
22,Homenaje a la Ruta 90's & 2MIL Valencia,La Marina de Valencia,"C/ de la Aduana, s/n, Moll de Ponent",Valencia,Valencia,39.461478,-0.329933,2023-07-08,2023-07-08,1,electronica,08-07
23,FIB,Benicàssim,"Carretera N-340, kilómetro 986,300",Benicàssim,Castellón,40.048068,0.047872,2023-07-13,2023-07-16,4,electronica,13-07
24,Fan Futura Fest,Polideportivo San Javier,Explanada Mariano Rojas,San Javier,Murcia,37.810538,-0.829017,2023-07-28,2023-07-29,2,electronica,28-07
25,Monegros Desert Festival,Desierto de los Monegros,Carretera Nacional II,Fraga,Huesca,41.524747,0.125433,2023-07-29,2023-07-29,1,electronica,29-07
26,Loona Summer Festival,Campo de Fútbol El Morche,"Calle el Copo, 40",El Morche,Málaga,36.736859,-3.988820,2023-07-29,2023-07-29,1,electronica,29-07
27,Arenal Sound,Playa el Arenal,Avinguda de la Mediterrània s/n,Burriana,Castellón,39.864638,-0.066583,2023-08-01,2023-08-06,6,electronica,01-08
28,Dreambeach Festival,Playa de Villaricos (Cuevas del Almanzora),Playa de Villaricos,Almería,Almería,37.246981,-1.773692,2023-08-09,2023-08-13,5,electronica,09-08
29,Medusa Sun Beach Festival,Playa de Cullera,,Cullera,Valencia,39.153842,-0.242901,2023-08-09,2023-08-14,6,electronica,09-08
30,Aquasella,El Merediz,,Arriondas,Asturias,43.393635,-5.176299,2023-08-17,2023-08-20,4,electronica,17-08
31,The End of the World Festival,Parc de la Serra,,Mollerusa,Lleida,41.614448,0.861740,2023-08-26,2023-08-26,1,electronica,26-08
32,Love the 90’s Alicante,Area 12 (Multiespacio Rabasa),Carrer de Xàtiva,Alicante,Alicante,38.377613,-0.506809,2023-08-26,2023-08-26,1,electronica,26-08
33,Parallel Festival,Port del Comte,Urbanització Port del Comte,La Coma i la Pedra,Lleida,42.172526,1.542655,2023-09-01,2023-09-03,3,electronica,01-09
34,Extremúsika,Recinto Hípico,"Ctra. Mérida, S/N",Cáceres,Cáceres,39.442331,-6.373283,2023-10-12,2023-10-14,3,electronica,12-10
35,WAN Festival,Cubierta de Leganés,"Calle del Maestro, 4",Leganés,Madrid,40.325968,-3.758612,2023-01-01,2023-01-01,1,electronica,01-01
36,Palma On Season Fest,Parc del Mar,Parc del Mar,Palma,Islas Baleares,39.565323,2.648738,2023-02-10,2023-02-12,3,electronica,10-02
37,AbroadFest,Varias localizaciones,,Barcelona,Barcelona,41.384072,2.173020,2023-03-02,2023-03-11,10,electronica,02-03
38,Snowdaze,Estación de Candanchú,"Carretera Francia, s/n",Candanchú,Huesca,42.786709,-0.535970,2023-03-17,2023-03-18,2,electronica,17-03
39,Iboga Rave Madrid,Sala La Riviera,"P.º Bajo de la Virgen del Puerto, S/N",Madrid,Madrid,40.413007,-3.722130,2023-03-18,2023-03-18,1,electronica,18-03
40,Makinando Festival,Palacio de Congresos y Exposiciones de León,Calle Gómez Salazar,León,León,42.593406,-5.583630,2023-03-25,2023-03-25,1,electronica,25-03
41,Primavera Festival Cáceres,Recinto Hípico,"Ctra. Mérida-Badajoz, s/n",Cáceres,Cáceres,39.442490,-6.372886,2023-03-30,2023-03-30,1,electronica,30-03
42,Sun & Snow Weekend,Parque de actividades Mirlo Blanco,"Prado Llano, S/N",Sierra Nevada,Granada,37.089658,-3.399330,2023-03-31,2023-04-02,3,electronica,31-03
43,Planet 90's & 00's Dance Festival,Music Park Torrijos,"Polígono Rústica-3, 67",Rielves,Toledo,39.965439,-4.214864,2023-04-01,2023-04-01,1,electronica,01-04
44,Iboga Rave Valencia,Sala Repvblicca,"Pol. Industrial Mislata, Carrer Baix Vinalopó, 2",Valencia,Valencia,39.472469,-0.426922,2023-04-01,2023-04-01,1,electronica,01-04
45,I Love Music Festival,Siam Park,"Av. Siam, s/n",Costa Adeje,Santa Cruz de Tenerife,28.072100,-16.725583,2023-04-08,2023-04-08,1,electronica,08-04
46,LEV,Laboral Ciudad de la Cultura,"Luis Moya Blanco, 261",Gijón,Asturias,43.524042,-5.614242,2023-04-27,2023-04-30,4,electronica,27-04
47,Iruña Rock,Navarra Arena,"Plaza Aizagerria, nº 1",Pamplona,Navarra,42.795708,-1.634686,2023-03-31,2023-04-01,2,"fusion, world music",31-03
48,Iberojoven,Recinto IberoJoven,La Nava,Peal de Becerro,,37.917058,-3.119613,2023-04-01,2023-04-01,1,"fusion, world music",01-04
49,Zeid Fest,BEC! Bizkaia Arena,"Azkue Kalea, 1",Barakaldo,Vizcaya,43.287911,-2.989424,2023-04-01,2023-04-01,1,"fusion, world music",01-04
50,Sound Isidro,Varias localizaciones,,Madrid,Madrid,40.412126,-3.697799,2023-04-01,2023-05-31,61,"fusion, world music",01-04
51,Iboga Rave Valencia,Sala Repvblicca,"Pol. Industrial Mislata, Carrer Baix Vinalopó, 2",Valencia,Valencia,39.472469,-0.426922,2023-04-01,2023-04-01,1,"fusion, world music",01-04
52,El Festivalino de Pescueza,Plaza Mayor,,Pescueza,Cáceres,39.917881,-6.646035,2023-04-14,2023-04-16,3,"fusion, world music",14-04
53,La Cueva Music Festival,Recinto Ferial de Alcalá de Guadaíra,C. San Juan,Alcalá de Guadaíra,Sevilla,37.331113,-5.840113,2023-04-15,2023-04-15,1,"fusion, world music",15-04
54,Cruilla de Primavera,Sala Apolo,"Carrer Nou de la Rambla, 113",Barcelona,Barcelona,41.374436,2.169626,2023-03-10,2023-04-22,44,"fusion, world music",10-03
55,Viña Rock,Recinto Ferial de Villarrobledo,"Santa Ana, 55",Villarrobledo,Albacete,39.272929,-2.608867,2023-04-28,2023-04-30,3,"fusion, world music",28-04
56,Solazo Fest,Recinto Ferial de Almería,Vega de Aca,Almería,Almería,36.837678,-2.431219,2023-04-28,2023-04-30,3,"fusion, world music",28-04
57,Boquerón Primavera Festival,Autocine Málaga Cesur FP,Ctra. de la Azucarera Intelhorce,Málaga,Málaga,36.691877,-4.488300,2023-04-29,2023-04-29,1,"fusion, world music",29-04
58,Valencia Flow Fest,La 3 park,"Carrera del Riu, 399",Pinedo,Valencia,39.410957,-0.334871,2023-05-06,2023-05-07,2,"fusion, world music",06-05
59,Womad Cáceres,Plaza de San Jorge,,Cáceres,,39.476179,-6.370760,2023-05-11,2023-05-14,4,"fusion, world music",11-05
60,Marenostrum Fuengirola,Marenostrum Fuengirola,,Fuengirola,Málaga,36.525226,-4.627776,2023-05-13,2023-08-19,99,"fusion, world music",13-05
