;meses;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
0;Enero;13396183;12114704;7966628;14369337;6853930;10098665;16083193;19355036;23597117;4909097;8990984
1;Febrero;8662942;7438260;11008767;8940106;12172530;17701440;14760326;14653131;23379558;4021633;12169116
2;Marzo;15993534;9245903;11501337;12564245;13578973;13420841;29814337;23892118;22463125;11594146;23213911
3;Abril;9434360;9581722;8189637;8932034;12866433;15663826;15989687;18765497;10211687;3182617;15672764
4;Mayo;13510937;8183353;7826258;11237459;13427127;16412112;28995797;41625513;7506297;5172378;21252275
5;Junio;15006380;5530355;10257741;22173685;30651700;28433769;25981606;28676786;10650056;9803961;47251135
6;Julio;16846523;20708124;25449080;20694400;21378722;24727004;51066625;41823606;6873337;9573135;45897501
7;Agosto;27159662;13104684;14928108;15210424;18340783;18914360;16871962;25199099;3690737;8869965;36844536
8;Septiembre;8403899;18016451;16847362;16416063;19487595;27325967;17993450;41222597;81774616;23661105;67808894
9;Octubre;25625541;26579600;24333870;27480290;28065235;40703758;50689206;49076003;8322941;20715347;62573513
10;Noviembre;14721639;12996316;20803034;20115569;26028102;28010417;36756695;32831300;7130653;20893590;43859416
11;Diciembre;12748178;14615395;14435101;16442750;20310685;27756565;28897218;45475549;6577789;35240529;73714084
12;Total;181509778;158114867;173546923;194576362;223161815;269168724;333900102;382596235;212177913;157637503;459248129
